DriverCode,TeamCode,DriverPoints,TeamPoints,P1Time,P1Laps,P2Time,P2Laps,P3Time,P3Laps,Q1Time,Q2Time,Q3Time
PIA,MCL,266,516,76.071,30,75.915,30,74.916,17,75.211,74.941,75.398
NOR,MCL,250,516,76.052,26,75.624,27,74.948,20,74.523,74.89,75.413
VER,RBR,185,195,76.94,25,76.791,25,76.162,19,75.736,75.547,75.728
RUS,MERC,157,220,76.925,26,76.417,27,75.84,17,75.627,75.201,75.425
LEC,FER,139,248,76.269,28,76.023,28,75.315,17,75.582,75.455,75.372
HAM,FER,109,248,76.734,28,76.329,28,75.684,18,75.733,75.702,
ANT,MERC,63,220,76.88,26,76.52,26,75.745,18,75.782,76.386,
ALB,WIL,54,70,76.984,28,77.021,30,76.53,20,76.223,,
HUL,SAU,37,43,,,76.68,31,76.025,21,76.081,,
OCO,HAA,27,35,77.004,26,76.704,29,76.531,18,76.023,,
HAD,VCARB,22,38,76.681,31,76.427,30,76.956,18,75.516,75.469,75.915
GAS,ALP,20,20,77.123,27,77.043,25,76.57,22,75.966,,
STR,AST,20,36,76.958,25,76.119,28,75.828,21,75.673,75.129,75.498
LAW,VCARB,16,38,77.184,29,76.812,29,76.371,21,75.849,75.63,75.821
ALO,AST,16,36,,,76.233,25,75.794,18,75.281,75.395,75.481
SAI,WIL,16,70,77.195,31,76.874,32,76.442,19,75.652,75.781,
TSU,RBR,10,192,77.393,27,76.485,30,76.878,19,75.899,,
BEA,HAA,8,35,76.878,26,76.567,27,76.127,17,75.75,75.694,
BOR,SAU,6,43,77.652,,,,,,75.586,75.687,75.725
COL,ALP,0,20,77.464,29,77.159,29,76.247,21,75.875,76.159,
