Race_Name,Driver_Code,Team_Code,Quali_Position,Start_Position,Finish_Position,Total_Time_Seconds,Best_Lap_Time_Seconds,Average_Lap_Time_Seconds,Status
2024_Hungarian_GP,PIA,MCL,2.0,2.0,1.0,5881.989,81.716,84.02841428571428,Finished
2024_Hungarian_GP,NOR,MCL,1.0,1.0,2.0,2.141,81.712,84.059,Finished
2024_Hungarian_GP,HAM,FER,5.0,5.0,3.0,14.88,82.153,84.24098571428571,Finished
2024_Hungarian_GP,LEC,FER,6.0,6.0,4.0,19.686,82.182,84.30964285714286,Finished
2024_Hungarian_GP,VER,RBR,3.0,3.0,5.0,21.349,80.908,84.3334,Finished
2024_Hungarian_GP,SAI,WIL,4.0,4.0,6.0,23.073,81.441,84.35802857142858,Finished
2024_Hungarian_GP,RUS,MERC,17.0,17.0,8.0,42.368,80.305,84.63367142857143,Finished
2024_Hungarian_GP,TSU,RBR,10.0,10.0,9.0,77.259,83.533,85.1321142857143,Finished
2024_Hungarian_GP,STR,AST,8.0,8.0,10.0,77.976,82.338,85.14235714285715,Finished
2024_Hungarian_GP,ALO,AST,7.0,7.0,11.0,82.46,83.063,85.20641428571429,Finished
2024_Hungarian_GP,HUL,SAU,11.0,11.0,13.0,33.184,83.461,85.72714492753624,Finished
2024_Hungarian_GP,ALB,WIL,13.0,13.0,14.0,36.769,83.93,85.77910144927534,Finished
2024_Hungarian_GP,OCO,HAA,19.0,19.0,18.0,60.929,81.61,86.12924637681158,Finished
2024_Hungarian_GP,GAS,ALP,20.0,20.0,20.0,,83.34,86.6440909090909,DNF
2024_Hungarian_GP,ANT,MERC,,,,,,,DNP
2024_Hungarian_GP,HAD,VCARB,,,,,,,DNP
2024_Hungarian_GP,LAW,VCARB,,,,,,,DNP
2024_Hungarian_GP,BEA,HAA,,,,,,,DNP
2024_Hungarian_GP,BOR,SAU,,,,,,,DNP
2024_Hungarian_GP,COL,ALP,,,,,,,DNP
