DriverCode,TeamCode,DriverPoints,TeamPoints,DryRating,RainRating,DeltaRating,GameRating,effective_driver_rating,best_practice_time,avg_practice_time,practice_consistency,total_practice_laps,avg_laps_per_session,best_quali_time,quali_consistency,practice_to_quali_improvement,rain_probability_pct,rain_probability,use_rain_ratings,rain_performance_multiplier,street_circuit,overtake_score,avg_speed_kph,circuit_length_km,elevation_change_m,turn_count,prev_finish_position,prev_total_time,prev_status,prev_participated_same_circuit,prev_finished_same_circuit,prev_dnf,prev_top_3,prev_top_5,prev_top_10
PIA,MCL,266,516,87,75.74513514,62.83783784,84.35,87.0,74.916,75.634,0.6266793438434071,77.0,25.666666666666668,74.941,0.2297527656706919,0.6929999999999978,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,1.0,5881.989,Finished,1,1,0,1.0,1.0,1.0
NOR,MCL,250,516,91,75.27314496,62.40786241,83.85,91.0,74.948,75.54133333333333,0.5566231519918484,73.0,24.333333333333332,74.523,0.44727284737618495,1.0183333333333309,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,2.0,2.141,Finished,1,1,0,1.0,1.0,1.0
VER,RBR,185,195,95,81.67683047,76.16707617,85.35,95.0,76.162,76.631,0.4129418845309784,69.0,23.0,75.547,0.10688467305153557,1.0840000000000032,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,5.0,21.349,Finished,1,1,0,0.0,1.0,1.0
RUS,MERC,157,220,90,76.57756757,58.91891892,88.35,90.0,75.84,76.39399999999999,0.5428655450477555,70.0,23.333333333333332,75.201,0.21309465815297615,1.1929999999999978,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,8.0,42.368,Finished,1,1,0,0.0,0.0,1.0
LEC,FER,139,248,91,73.73054054,51.35135135,88.65,91.0,75.315,75.869,0.4952938521726298,73.0,24.333333333333332,75.372,0.10576546380238047,0.4969999999999999,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,4.0,19.686,Finished,1,1,0,0.0,1.0,1.0
HAM,FER,109,248,89,87.21339066,76.65847666,94.25,89.0,75.684,76.249,0.5295516971930109,74.0,24.666666666666668,75.702,0.021920310216787153,0.546999999999997,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,3.0,14.88,Finished,1,1,0,1.0,1.0,1.0
ANT,MERC,63,220,72,78.69459459,86.48648649,73.5,72.0,75.745,76.38166666666666,0.5800071838635515,70.0,23.333333333333332,75.782,0.42709249583667414,0.5996666666666641,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,8.5,36.769,DNP,0,0,0,0.0,0.0,0.0
ALB,WIL,54,70,83,76.01648649,66.21621622,82.55,83.0,76.53,76.845,0.27342457826610805,78.0,26.0,76.223,0.11918193375396353,0.6219999999999999,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,14.0,36.769,Finished,1,1,0,0.0,0.0,0.0
HUL,SAU,37,43,84,92.68,100.0,87.8,84.0,76.025,76.3525,0.46315494167718946,52.0,26.0,76.081,0.11918193375396353,0.2715000000000032,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,13.0,33.184,Finished,1,1,0,0.0,0.0,0.0
OCO,HAA,27,35,85,80.32783784,74.59459459,84.15,85.0,76.531,76.74633333333334,0.2393247445069849,73.0,24.333333333333332,76.023,0.11918193375396353,0.7233333333333434,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,18.0,60.929,Finished,1,1,0,0.0,0.0,0.0
HAD,VCARB,22,38,68,44.79,0.0,74.65,68.0,76.427,76.688,0.2645694615786166,79.0,26.333333333333332,75.469,0.24505985663371194,1.2190000000000083,64.0,0.64,0,1.0,0,2,195.91,4.381,35,14,8.5,36.769,DNP,0,0,0,0.0,0.0,0.0
